instance_date,area_name_en,project_en,property_type_en,rooms_en,reg_type_en,procedure_area,actual_worth,transaction_number
2026-02-04,EMAAR SOUTH,Grove Ridge,Apartment,2 B/R,Off-Plan,120.14,2629888,102-12785-2026
2026-02-04,EMAAR SOUTH,Grove Ridge,Apartment,2 B/R,Off-Plan,128.28,2019888,102-12797-2026
2026-02-04,DUBAI CREEK HARBOUR,Montiva,Apartment,2 B/R,Off-Plan,111.98,2962888,102-12826-2026
2026-02-04,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,68.45,1860888,102-12831-2026
2026-02-04,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,115.05,2896888,102-12837-2026
2026-02-04,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,68.7,1888888,102-12839-2026
2026-02-04,DUBAI CREEK HARBOUR,Montiva,Apartment,2 B/R,Off-Plan,106.2,2822888,102-12844-2026
2026-02-04,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,111.14,3293888,102-12851-2026
2026-02-04,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,111.14,3281888,102-12853-2026
2026-02-04,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,110.59,3409888,102-12862-2026
2026-02-05,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,67.86,1875888,102-13374-2026
2026-02-05,DUBAI CREEK HARBOUR,Silva,Apartment,2 B/R,Off-Plan,130.34,3040888,102-13394-2026
2026-02-06,EMAAR SOUTH,Golf Point,Apartment,1 B/R,Off-Plan,62.67,1175000,102-13487-2026
2026-02-06,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,133.03,4673888,102-13489-2026
2026-02-06,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,134.76,3333888,102-13490-2026
2026-02-06,DUBAI CREEK HARBOUR,Creek Bay,Apartment,3 B/R,Off-Plan,172.34,6156888,102-13492-2026
2026-02-06,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,67.86,1864888,102-13494-2026
2026-02-06,DUBAI CREEK HARBOUR,Albero,Apartment,3 B/R,Off-Plan,171.7,4188888,102-13495-2026
2026-02-06,EMAAR SOUTH,Golf Point,Apartment,1 B/R,Off-Plan,84.06,1000000,102-13498-2026
2026-02-06,DUBAI CREEK HARBOUR,Altan,Apartment,2 B/R,Off-Plan,133.49,3557888,102-13501-2026
2026-02-06,DUBAI CREEK HARBOUR,Altan,Apartment,3 B/R,Off-Plan,171.7,4196888,102-13502-2026
2026-02-06,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,111.14,3312888,102-13508-2026
2026-02-06,EMAAR SOUTH,Golf Point,Apartment,1 B/R,Off-Plan,63.06,1040000,102-13559-2026
2026-02-06,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,127.67,2203888,102-13645-2026
2026-02-06,EMAAR SOUTH,Golf Hills,Apartment,1 B/R,Off-Plan,63.19,1324888,102-13740-2026
2026-02-06,EMAAR SOUTH,Vista Ridge,Apartment,1 B/R,Off-Plan,73.21,1287888,102-13754-2026
2026-02-06,EMAAR SOUTH,Grove Ridge,Apartment,2 B/R,Off-Plan,128.28,2007888,102-13768-2026
2026-02-06,EMAAR SOUTH,Vista Ridge,Apartment,1 B/R,Off-Plan,73.21,1282888,102-13772-2026
2026-02-06,EMAAR SOUTH,Vista Ridge,Apartment,1 B/R,Off-Plan,73.73,1303888,102-13782-2026
2026-02-06,EMAAR SOUTH,Grove Ridge,Apartment,1 B/R,Off-Plan,76.68,1338888,102-13791-2026
2026-02-06,EMAAR SOUTH,Vista Ridge,Apartment,1 B/R,Off-Plan,76.69,1361888,102-13797-2026
2026-02-06,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,127.67,2460888,102-13804-2026
2026-02-06,EMAAR SOUTH,Vista Ridge,Apartment,1 B/R,Off-Plan,76.69,1309170,102-13816-2026
2026-02-06,DUBAI CREEK HARBOUR,Creek Bay,Apartment,3 B/R,Off-Plan,226.53,6346888,102-13821-2026
2026-02-06,DUBAI CREEK HARBOUR,Silva,Apartment,3 B/R,Off-Plan,302.22,6312888,102-13836-2026
2026-02-06,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,133.03,4727888,102-13841-2026
2026-02-06,DUBAI CREEK HARBOUR,Albero,Apartment,3 B/R,Off-Plan,171.65,4362850,102-13847-2026
2026-02-06,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,115.98,4361888,102-13854-2026
2026-02-06,DUBAI CREEK HARBOUR,Altan,Apartment,3 B/R,Off-Plan,171.7,4244888,102-13859-2026
2026-02-06,DUBAI CREEK HARBOUR,Altan,Apartment,3 B/R,Off-Plan,171.7,4220888,102-13862-2026
2026-02-06,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,115.98,4200888,102-13873-2026
2026-02-06,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,115.9,4189888,102-13877-2026
2026-02-06,DUBAI CREEK HARBOUR,Albero,Apartment,3 B/R,Off-Plan,171.7,4172888,102-13882-2026
2026-02-06,DUBAI CREEK HARBOUR,Altan,Apartment,3 B/R,Off-Plan,171.7,4172888,102-13885-2026
2026-02-06,DUBAI CREEK HARBOUR,Altan,Apartment,2 B/R,Off-Plan,133.49,3669888,102-13898-2026
2026-02-06,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,115.05,3620888,102-13921-2026
2026-02-06,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,110.7,3507888,102-13940-2026
2026-02-06,DUBAI CREEK HARBOUR,Montiva,Apartment,1 B/R,Off-Plan,92.77,2122888,102-13946-2026
2026-02-06,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,68.69,1992888,102-13953-2026
2026-02-09,EMAAR SOUTH,Golf Hills,Apartment,1 B/R,Off-Plan,63.19,1391888,102-14117-2026
2026-02-09,EMAAR SOUTH,Golf Hills,Apartment,1 B/R,Off-Plan,62.81,1248888,102-14121-2026
2026-02-09,EMAAR SOUTH,Vista Ridge,Apartment,1 B/R,Off-Plan,73.73,1295888,102-14125-2026
2026-02-09,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,128.48,2007888,102-14132-2026
2026-02-09,EMAAR SOUTH,Grove Ridge,Apartment,1 B/R,Off-Plan,74.48,1304888,102-14136-2026
2026-02-09,EMAAR SOUTH,Vista Ridge,Apartment,1 B/R,Off-Plan,73.2,1285888,102-14140-2026
2026-02-09,EMAAR SOUTH,Vista Ridge,Apartment,1 B/R,Off-Plan,73.19,1280888,102-14152-2026
2026-02-09,EMAAR SOUTH,Grove Ridge,Apartment,2 B/R,Off-Plan,127.78,1995888,102-14166-2026
2026-02-09,EMAAR SOUTH,Grove Ridge,Apartment,1 B/R,Off-Plan,76.68,1343888,102-14176-2026
2026-02-09,EMAAR SOUTH,Grove Ridge,Apartment,1 B/R,Off-Plan,74.48,1301888,102-14187-2026
2026-02-09,EMAAR SOUTH,Grove Ridge,Apartment,1 B/R,Off-Plan,76.68,1354888,102-14195-2026
2026-02-09,EMAAR SOUTH,Grove Ridge,Apartment,1 B/R,Off-Plan,73.26,1288888,102-14200-2026
2026-02-09,EMAAR SOUTH,Grove Ridge,Apartment,3 B/R,Off-Plan,162.99,3519888,102-14224-2026
2026-02-09,EMAAR SOUTH,Grove Ridge,Apartment,2 B/R,Off-Plan,154.65,2081888,102-14232-2026
2026-02-09,EMAAR SOUTH,Grove Ridge,Apartment,2 B/R,Off-Plan,126.84,2681888,102-14261-2026
2026-02-09,EMAAR SOUTH,Grove Ridge,Apartment,2 B/R,Off-Plan,126.84,2691888,102-14276-2026
2026-02-09,EMAAR SOUTH,Grove Ridge,Apartment,2 B/R,Off-Plan,127.61,1980888,102-14279-2026
2026-02-09,DUBAI CREEK HARBOUR,Altan,Apartment,1 B/R,Off-Plan,71.38,1875888,102-14289-2026
2026-02-09,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,67.85,1959888,102-14328-2026
2026-02-09,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,110.43,2680888,102-14351-2026
2026-02-09,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,134.76,3377888,102-14376-2026
2026-02-09,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,84.9,2424888,102-14400-2026
2026-02-09,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,106.28,3193888,102-14419-2026
2026-02-09,DUBAI CREEK HARBOUR,Albero,Apartment,3 B/R,Off-Plan,171.65,4469888,102-14429-2026
2026-02-09,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,68.13,1883888,102-14435-2026
2026-02-09,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,110.63,3302888,102-14462-2026
2026-02-09,EMAAR SOUTH,Grove Ridge,Apartment,2 B/R,Off-Plan,126.84,2671888,102-14476-2026
2026-02-09,EMAAR SOUTH,Grove Ridge,Apartment,2 B/R,Off-Plan,119.19,2626888,102-14484-2026
2026-02-09,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,134.76,3295888,102-14487-2026
2026-02-09,EMAAR SOUTH,Golf Hills,Apartment,3 B/R,Off-Plan,233.25,2942888,102-14499-2026
2026-02-09,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,128.48,1996888,102-14508-2026
2026-02-09,DUBAI CREEK HARBOUR,Silva,Apartment,2 B/R,Off-Plan,130.34,3129030,102-14510-2026
2026-02-09,EMAAR SOUTH,Grove Ridge,Apartment,1 B/R,Off-Plan,76.68,1359888,102-14516-2026
2026-02-09,DUBAI CREEK HARBOUR,Silva,Apartment,2 B/R,Off-Plan,130.34,3232888,102-14517-2026
2026-02-09,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,128.48,2000888,102-14523-2026
2026-02-09,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,119.46,2159888,102-14526-2026
2026-02-09,EMAAR SOUTH,Grove Ridge,Apartment,2 B/R,Off-Plan,120.13,2634888,102-14528-2026
2026-02-09,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,111.14,3331888,102-14529-2026
2026-02-09,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,68.45,1843888,102-14530-2026
2026-02-09,EMAAR SOUTH,Vista Ridge,Apartment,1 B/R,Off-Plan,73.21,1295888,102-14531-2026
2026-02-09,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,128.37,2024888,102-14534-2026
2026-02-09,DUBAI CREEK HARBOUR,Montiva,Apartment,2 B/R,Off-Plan,106.21,2822888,102-14536-2026
2026-02-09,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,134.76,3283888,102-14541-2026
2026-02-09,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,128.49,2017888,102-14543-2026
2026-02-09,EMAAR SOUTH,Grove Ridge,Apartment,2 B/R,Off-Plan,127.78,2010888,102-14544-2026
2026-02-09,DUBAI CREEK HARBOUR,Altan,Apartment,2 B/R,Off-Plan,133.34,3375888,102-14546-2026
2026-02-09,DUBAI CREEK HARBOUR,Silva,Apartment,2 B/R,Off-Plan,130.34,3158888,102-14549-2026
2026-02-09,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,134.76,3264888,102-14555-2026
2026-02-09,EMAAR SOUTH,Vista Ridge,Apartment,1 B/R,Off-Plan,73.73,1290888,102-14557-2026
2026-02-09,EMAAR SOUTH,Grove Ridge,Apartment,1 B/R,Off-Plan,74.48,1296888,102-14562-2026
2026-02-09,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,127.41,2682888,102-14563-2026
2026-02-09,EMAAR SOUTH,Golf Meadow,Apartment,3 B/R,Off-Plan,145.96,2738888,102-14568-2026
2026-02-09,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,128.48,2020888,102-14571-2026
2026-02-09,DUBAI CREEK HARBOUR,Silva,Apartment,2 B/R,Off-Plan,130.34,3187888,102-14573-2026
2026-02-09,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,119.46,2284888,102-14575-2026
2026-02-09,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,128.48,2023888,102-14578-2026
2026-02-09,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,128.49,2024888,102-14581-2026
2026-02-09,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,127.67,2594888,102-14583-2026
2026-02-09,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,111.14,3318888,102-14585-2026
2026-02-09,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,110.63,3290888,102-14593-2026
2026-02-09,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,128.48,1992888,102-14596-2026
2026-02-09,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,134.76,3364888,102-14602-2026
2026-02-09,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,67.86,1893888,102-14606-2026
2026-02-09,DUBAI CREEK HARBOUR,Silva,Apartment,2 B/R,Off-Plan,130.34,3062888,102-14608-2026
2026-02-10,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,127.67,2684888,102-14703-2026
2026-02-10,EMAAR SOUTH,Vista Ridge,Apartment,1 B/R,Off-Plan,73.79,1291888,102-14705-2026
2026-02-10,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,128.47,2001888,102-14713-2026
2026-02-10,EMAAR SOUTH,Vista Ridge,Apartment,1 B/R,Off-Plan,73.21,1290888,102-14718-2026
2026-02-10,EMAAR SOUTH,Vista Ridge,Apartment,1 B/R,Off-Plan,76.69,1359888,102-14723-2026
2026-02-10,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,128.48,2007888,102-14728-2026
2026-02-10,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,118.78,2536888,102-14732-2026
2026-02-10,EMAAR SOUTH,Grove Ridge,Apartment,2 B/R,Off-Plan,127.78,2014888,102-14746-2026
2026-02-10,DUBAI CREEK HARBOUR,Creek Waters 2,Apartment,2 B/R,Off-Plan,112.7,2640000,102-14989-2026
2026-02-10,EMAAR SOUTH,Vista Ridge,Apartment,1 B/R,Off-Plan,73.21,1292888,102-14998-2026
2026-02-10,EMAAR SOUTH,Grove Ridge,Apartment,2 B/R,Off-Plan,126.85,2655888,102-15030-2026
2026-02-10,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,119.43,2639888,102-15039-2026
2026-02-11,DUBAI CREEK HARBOUR,Address Residences l Dubai Creek Harbour,Apartment,1 B/R,Off-Plan,74.24,2037888,102-15364-2026
2026-02-11,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,68.45,1808888,102-15377-2026
2026-02-11,EMAAR SOUTH,Greenway,Villa,3 B/R,Off-Plan,172.82,3406888,102-15615-2026
2026-02-11,EMAAR SOUTH,Golf Point,Apartment,1 B/R,Off-Plan,63.11,912888,102-15627-2026
2026-02-12,DUBAI CREEK HARBOUR,Montiva,Apartment,1 B/R,Off-Plan,73.02,1974888,102-15829-2026
2026-02-12,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,115.28,3744888,102-15830-2026
2026-02-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,134.76,3339888,102-15832-2026
2026-02-12,DUBAI CREEK HARBOUR,Altan,Apartment,2 B/R,Off-Plan,133.34,3313888,102-15833-2026
2026-02-12,DUBAI CREEK HARBOUR,Creek Haven,Apartment,3 B/R,Off-Plan,173.06,5644888,102-15834-2026
2026-02-12,DUBAI CREEK HARBOUR,Altan,Apartment,1 B/R,Off-Plan,70.99,2064888,102-15835-2026
2026-02-12,DUBAI CREEK HARBOUR,Altan,Apartment,1 B/R,Off-Plan,70.37,1834888,102-15836-2026
2026-02-12,DUBAI CREEK HARBOUR,Montiva,Apartment,1 B/R,Off-Plan,70.63,2039888,102-15837-2026
2026-02-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,133.03,4682888,102-15838-2026
2026-02-12,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,111.02,3400888,102-15861-2026
2026-02-12,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,110.6,3277888,102-15866-2026
2026-02-12,DUBAI CREEK HARBOUR,Altan,Apartment,2 B/R,Off-Plan,133.49,3488888,102-15867-2026
2026-02-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,1 B/R,Off-Plan,71,2110888,102-15870-2026
2026-02-12,DUBAI CREEK HARBOUR,Altan,Apartment,1 B/R,Off-Plan,71.96,1888888,102-15873-2026
2026-02-12,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,67.86,1967888,102-15877-2026
2026-02-12,DUBAI CREEK HARBOUR,Montiva,Apartment,2 B/R,Off-Plan,106.21,2834888,102-15880-2026
2026-02-12,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,110.45,3363888,102-15881-2026
2026-02-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,116.1,4189888,102-15883-2026
2026-02-12,DUBAI CREEK HARBOUR,Altan,Apartment,2 B/R,Off-Plan,133.34,3307888,102-15887-2026
2026-02-12,DUBAI CREEK HARBOUR,Silva,Apartment,3 B/R,Off-Plan,170.38,3927888,102-15889-2026
2026-02-12,DUBAI CREEK HARBOUR,Altan,Apartment,3 B/R,Off-Plan,171.7,4180888,102-15890-2026
2026-02-12,DUBAI CREEK HARBOUR,Albero,Apartment,3 B/R,Off-Plan,171.7,4283888,102-15893-2026
2026-02-12,EMAAR SOUTH,Greenway,Villa,4 B/R,Off-Plan,264.6,3685888,102-15941-2026
2026-02-12,DUBAI CREEK HARBOUR,Creek Bay,Apartment,3 B/R,Off-Plan,172.34,6041888,102-16120-2026
2026-02-12,DUBAI CREEK HARBOUR,ARLO,Apartment,3 B/R,Off-Plan,304.32,5695888,102-16125-2026
2026-02-13,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,128.47,2013888,102-16325-2026
2026-02-13,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,120.08,2413888,102-16327-2026
2026-02-13,EMAAR SOUTH,Grove Ridge,Apartment,2 B/R,Off-Plan,120.14,2639888,102-16330-2026
2026-02-13,EMAAR SOUTH,Grove Ridge,Apartment,1 B/R,Off-Plan,73.26,1290888,102-16332-2026
2026-02-13,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,155.75,2177888,102-16333-2026
2026-02-13,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,127.67,2679888,102-16334-2026
2026-02-13,EMAAR SOUTH,Vista Ridge,Apartment,2 B/R,Off-Plan,156.9,2091888,102-16336-2026
2026-02-13,EMAAR SOUTH,Golf Hills,Apartment,3 B/R,Off-Plan,161.55,2919888,102-16337-2026
2026-02-13,EMAAR SOUTH,Grove Ridge,Apartment,2 B/R,Off-Plan,128.28,1996888,102-16339-2026
2026-02-13,EMAAR SOUTH,Vista Ridge,Apartment,1 B/R,Off-Plan,76.69,1356888,102-16342-2026
2026-02-13,EMAAR SOUTH,Grove Ridge,Apartment,2 B/R,Off-Plan,128.28,2000888,102-16347-2026
2026-02-13,DUBAI CREEK HARBOUR,Altan,Apartment,1 B/R,Off-Plan,70.37,1816888,102-16375-2026
2026-02-13,EMAAR SOUTH,Vista Ridge,Apartment,1 B/R,Off-Plan,73.77,1304888,102-16619-2026
2026-02-14,EMAAR SOUTH,Golf Verge,Apartment,1 B/R,Off-Plan,74.23,1260888,102-16775-2026
2026-02-16,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,110.71,3451450,102-16855-2026
2026-02-16,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,129.71,4589888,102-16856-2026
2026-02-16,DUBAI CREEK HARBOUR,Altan,Apartment,2 B/R,Off-Plan,133.49,3529888,102-16860-2026
2026-02-16,DUBAI CREEK HARBOUR,Creek Bay,Apartment,3 B/R,Off-Plan,172.34,6064888,102-16861-2026
2026-02-16,DUBAI CREEK HARBOUR,Albero,Apartment,1 B/R,Off-Plan,70.37,1813888,102-16865-2026
2026-02-16,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,134.76,3308888,102-16866-2026
2026-02-16,DUBAI CREEK HARBOUR,Altan,Apartment,2 B/R,Off-Plan,133.49,3543888,102-16867-2026
2026-02-16,EMAAR SOUTH,Grove Ridge,Apartment,2 B/R,Off-Plan,127.78,2003888,102-16889-2026
2026-02-16,EMAAR SOUTH,Golf Meadow,Apartment,2 B/R,Off-Plan,100.61,2128888,102-16891-2026
2026-02-16,EMAAR SOUTH,Grove Ridge,Apartment,1 B/R,Off-Plan,74.47,1286888,102-16894-2026
2026-02-16,EMAAR SOUTH,Grove Ridge,Apartment,1 B/R,Off-Plan,76.68,1341888,102-16899-2026
2026-02-16,EMAAR SOUTH,Grove Ridge,Apartment,2 B/R,Off-Plan,127.07,2691888,102-16903-2026
2026-02-16,EMAAR SOUTH,Grove Ridge,Apartment,2 B/R,Off-Plan,128.28,2015888,102-16905-2026
2026-02-16,DUBAI CREEK HARBOUR,The Cove ll,Apartment,2 B/R,Off-Plan,105.81,2460000,102-16907-2026
2026-02-16,EMAAR SOUTH,Vista Ridge,Apartment,1 B/R,Off-Plan,73.79,1299888,102-16912-2026
2026-02-16,EMAAR SOUTH,Golf Hills 2,Apartment,2 B/R,Off-Plan,98.87,1527625,102-17205-2026
2026-02-17,DUBAI CREEK HARBOUR,The Cove ll,Apartment,2 B/R,Off-Plan,105.35,3065000,102-17642-2026
2026-02-17,DUBAI CREEK HARBOUR,ARLO,Apartment,2 B/R,Off-Plan,116.91,2840888,102-17645-2026
2026-02-17,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,115.33,3156888,102-17783-2026
2026-02-17,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,134.76,3371888,102-17787-2026
2026-02-17,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,111.02,3287888,102-17790-2026
2026-02-17,DUBAI CREEK HARBOUR,Altan,Apartment,1 B/R,Off-Plan,70.37,1813888,102-17794-2026
2026-02-18,DUBAI CREEK HARBOUR,Silva,Apartment,1 B/R,Off-Plan,69.08,1803888,102-17897-2026
2026-02-18,DUBAI CREEK HARBOUR,The Cove ll,Apartment,4 B/R,Off-Plan,459.93,13600000,102-18075-2026
2026-02-18,DUBAI CREEK HARBOUR,The Cove ll,Apartment,1 B/R,Off-Plan,74.71,1670000,102-18138-2026
2026-02-18,DUBAI CREEK HARBOUR,Palace Residences Creek Blue,Apartment,2 B/R,Off-Plan,114.56,3609888,102-18194-2026
2026-02-19,DUBAI CREEK HARBOUR,The Cove ll,Apartment,3 B/R,Off-Plan,169.8,5800000,102-18574-2026
2026-02-20,DUBAI CREEK HARBOUR,Creek Waters,Apartment,4 B/R,Off-Plan,226.73,6310888,102-18653-2026
2026-02-20,DUBAI CREEK HARBOUR,The Cove ll,Apartment,4 B/R,Off-Plan,643.57,14400000,102-18799-2026
2026-02-20,DUBAI CREEK HARBOUR,Creek Waters 2,Apartment,1 B/R,Off-Plan,70.8,1890000,102-18832-2026
2026-02-20,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,111.04,2776888,102-18853-2026
2026-02-20,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,134.76,3277888,102-18925-2026
2026-02-20,DUBAI CREEK HARBOUR,Creek Bay,Apartment,3 B/R,Off-Plan,172.34,6075888,102-18926-2026
2026-02-20,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,134.76,3364888,102-18929-2026
2026-02-20,DUBAI CREEK HARBOUR,Albero,Apartment,3 B/R,Off-Plan,171.7,4180888,102-18931-2026
2026-02-20,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,134.56,3384888,102-18935-2026
2026-02-20,DUBAI CREEK HARBOUR,Montiva,Apartment,1 B/R,Off-Plan,71.09,1916888,102-18936-2026
2026-02-20,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,68.13,1872888,102-18937-2026
2026-02-20,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,3 B/R,Off-Plan,170.5,4174888,102-18938-2026
2026-02-20,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,110.71,3514888,102-18941-2026
2026-02-20,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,67.86,1827590,102-18944-2026
2026-02-20,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,115.28,3070230,102-18945-2026
2026-02-20,DUBAI CREEK HARBOUR,Montiva,Apartment,1 B/R,Off-Plan,70.63,1867770,102-18946-2026
2026-02-20,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,106.29,3055888,102-18947-2026
2026-02-20,DUBAI CREEK HARBOUR,Altan,Apartment,3 B/R,Off-Plan,171.7,4164888,102-18952-2026
2026-02-20,DUBAI CREEK HARBOUR,Altan,Apartment,1 B/R,Off-Plan,70.37,1816888,102-18953-2026
2026-02-20,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,134.76,3193710,102-18955-2026
2026-02-20,DUBAI CREEK HARBOUR,Creek Haven,Apartment,1 B/R,Off-Plan,68.69,1921888,102-18956-2026
2026-02-20,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,115.28,3634888,102-18957-2026
2026-02-20,DUBAI CREEK HARBOUR,Creek Bay,Apartment,2 B/R,Off-Plan,134.76,3270888,102-18958-2026
2026-02-20,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,2 B/R,Off-Plan,106.28,2997888,102-18959-2026
2026-02-20,DUBAI CREEK HARBOUR,Lyvia by Palace,Apartment,1 B/R,Off-Plan,84.9,2410888,102-18960-2026
2026-02-20,DUBAI CREEK HARBOUR,Montiva,Apartment,2 B/R,Off-Plan,111.98,2849172,102-18963-2026
2026-02-21,DUBAI CREEK HARBOUR,The Cove ll,Apartment,3 B/R,Off-Plan,86.89,2306000,102-19082-2026
2026-02-23,DUBAI CREEK HARBOUR,Montiva,Apartment,2 B/R,Off-Plan,106.2,3027888,102-19152-2026
2026-02-23,DUBAI CREEK HARBOUR,Creek Haven,Apartment,2 B/R,Off-Plan,110.71,2795888,102-19154-2026
2026-02-23,DUBAI CREEK HARBOUR,Silva,Apartment,2 B/R,Off-Plan,130.34,3045888,102-19156-2026
